"row_id","icd9_code","short_title","long_title"
4376,"41403","Crn ath nonatlg blg grft","Coronary atherosclerosis of nonautologous biological bypass graft"
4335,"41000","AMI anterolateral,unspec","Acute myocardial infarction of anterolateral wall, episode of care unspecified"
4336,"41001","AMI anterolateral, init","Acute myocardial infarction of anterolateral wall, initial episode of care"
4337,"41002","AMI anterolateral,subseq","Acute myocardial infarction of anterolateral wall, subsequent episode of care"
4338,"41010","AMI anterior wall,unspec","Acute myocardial infarction of other anterior wall, episode of care unspecified"
4339,"41011","AMI anterior wall, init","Acute myocardial infarction of other anterior wall, initial episode of care"
4340,"41012","AMI anterior wall,subseq","Acute myocardial infarction of other anterior wall, subsequent episode of care"
4341,"41020","AMI inferolateral,unspec","Acute myocardial infarction of inferolateral wall, episode of care unspecified"
4342,"41021","AMI inferolateral, init","Acute myocardial infarction of inferolateral wall, initial episode of care"
4343,"41022","AMI inferolateral,subseq","Acute myocardial infarction of inferolateral wall, subsequent episode of care"
4344,"41030","AMI inferopost, unspec","Acute myocardial infarction of inferoposterior wall, episode of care unspecified"
4345,"41031","AMI inferopost, initial","Acute myocardial infarction of inferoposterior wall, initial episode of care"
4346,"41032","AMI inferopost, subseq","Acute myocardial infarction of inferoposterior wall, subsequent episode of care"
4347,"41040","AMI inferior wall,unspec","Acute myocardial infarction of other inferior wall, episode of care unspecified"
4348,"41041","AMI inferior wall, init","Acute myocardial infarction of other inferior wall, initial episode of care"
4349,"41042","AMI inferior wall,subseq","Acute myocardial infarction of other inferior wall, subsequent episode of care"
4350,"41050","AMI lateral NEC, unspec","Acute myocardial infarction of other lateral wall, episode of care unspecified"
4351,"41051","AMI lateral NEC, initial","Acute myocardial infarction of other lateral wall, initial episode of care"
4352,"41052","AMI lateral NEC, subseq","Acute myocardial infarction of other lateral wall, subsequent episode of care"
4353,"41060","True post infarct,unspec","True posterior wall infarction, episode of care unspecified"
4354,"41061","True post infarct, init","True posterior wall infarction, initial episode of care"
4355,"41062","True post infarct,subseq","True posterior wall infarction, subsequent episode of care"
4356,"41070","Subendo infarct, unspec","Subendocardial infarction, episode of care unspecified"
4357,"41071","Subendo infarct, initial","Subendocardial infarction, initial episode of care"
4358,"41072","Subendo infarct, subseq","Subendocardial infarction, subsequent episode of care"
4359,"41080","AMI NEC, unspecified","Acute myocardial infarction of other specified sites, episode of care unspecified"
4360,"41081","AMI NEC, initial","Acute myocardial infarction of other specified sites, initial episode of care"
4361,"41082","AMI NEC, subsequent","Acute myocardial infarction of other specified sites, subsequent episode of care"
4362,"41090","AMI NOS, unspecified","Acute myocardial infarction of unspecified site, episode of care unspecified"
4363,"41091","AMI NOS, initial","Acute myocardial infarction of unspecified site, initial episode of care"
4364,"41092","AMI NOS, subsequent","Acute myocardial infarction of unspecified site, subsequent episode of care"
4365,"4110","Post MI syndrome","Postmyocardial infarction syndrome"
4366,"4111","Intermed coronary synd","Intermediate coronary syndrome"
4367,"41181","Acute cor occlsn w/o MI","Acute coronary occlusion without myocardial infarction"
4368,"41189","Ac ischemic hrt dis NEC","Other acute and subacute forms of ischemic heart disease, other"
4369,"412","Old myocardial infarct","Old myocardial infarction"
4370,"4130","Angina decubitus","Angina decubitus"
4371,"4131","Prinzmetal angina","Prinzmetal angina"
4372,"4139","Angina pectoris NEC/NOS","Other and unspecified angina pectoris"
4373,"41400","Cor ath unsp vsl ntv/gft","Coronary atherosclerosis of unspecified type of vessel, native or graft"
4374,"41401","Crnry athrscl natve vssl","Coronary atherosclerosis of native coronary artery"
4375,"41402","Crn ath atlg vn bps grft","Coronary atherosclerosis of autologous vein bypass graft"
4377,"41404","Cor ath artry bypas grft","Coronary atherosclerosis of artery bypass graft"
4378,"41405","Cor ath bypass graft NOS","Coronary atherosclerosis of unspecified bypass graft"
4379,"41406","Cor ath natv art tp hrt","Coronary atherosclerosis of native coronary artery of transplanted heart"
4380,"41407","Cor ath bps graft tp hrt","Coronary atherosclerosis of bypass graft (artery) (vein) of transplanted heart"
4381,"41410","Aneurysm of heart","Aneurysm of heart (wall)"
4382,"41411","Aneurysm coronary vessel","Aneurysm of coronary vessels"
4383,"41412","Dissection cor artery","Dissection of coronary artery"
4384,"41419","Aneurysm of heart NEC","Other aneurysm of heart"
4385,"4142","Chr tot occlus cor artry","Chronic total occlusion of coronary artery"
4386,"4143","Cor ath d/t lpd rch plaq","Coronary atherosclerosis due to lipid rich plaque"
4387,"4144","Cor ath d/t calc cor lsn","Coronary atherosclerosis due to calcified coronary lesion"
4388,"4148","Chr ischemic hrt dis NEC","Other specified forms of chronic ischemic heart disease"
4389,"4149","Chr ischemic hrt dis NOS","Chronic ischemic heart disease, unspecified"
4390,"4150","Acute cor pulmonale","Acute cor pulmonale"
4391,"41511","Iatrogen pulm emb/infarc","Iatrogenic pulmonary embolism and infarction"
4392,"41512","Septic pulmonary embolsm","Septic pulmonary embolism"
4393,"41513","Saddle embol pulmon art","Saddle embolus of pulmonary artery"
4394,"41519","Pulm embol/infarct NEC","Other pulmonary embolism and infarction"
4395,"4160","Prim pulm hypertension","Primary pulmonary hypertension"
4396,"4161","Kyphoscoliotic heart dis","Kyphoscoliotic heart disease"
4397,"4162","Chr pulmonary embolism","Chronic pulmonary embolism"
4398,"4168","Chr pulmon heart dis NEC","Other chronic pulmonary heart diseases"
4399,"4169","Chr pulmon heart dis NOS","Chronic pulmonary heart disease, unspecified"
4400,"4170","Arterioven fistu pul ves","Arteriovenous fistula of pulmonary vessels"
4401,"4171","Pulmon artery aneurysm","Aneurysm of pulmonary artery"
4402,"4178","Pulmon circulat dis NEC","Other specified diseases of pulmonary circulation"
4403,"4179","Pulmon circulat dis NOS","Unspecified disease of pulmonary circulation"
